index,time,lat,lon,x,y,z,m,Day or night,Water or not,Hills or not
1088,2021/04/17 01:13:48.662501,-5:42:09.1,56:43:24.9,25.9627571105957,-12.9529056549072,10.2800540924072,9.82192105939228,0,1,0
1089,2021/04/17 01:13:56.539756,-5:17:55.8,57:00:47.9,26.1066303253174,-12.992696762085,10.9873323440552,9.90268195247251,0,1,0
1090,2021/04/17 01:14:05.167120,-4:50:40.0,57:20:19.5,26.3393573760986,-13.1097087860107,11.2129507064819,9.97110483732839,0,1,0
1091,2021/04/17 01:14:13.042816,-4:26:25.4,57:37:39.5,26.6282424926758,-13.1371574401855,11.3849906921387,10.037413901812,0,1,0
1092,2021/04/17 01:14:20.921763,-4:05:12.2,57:52:48.4,26.6211605072021,-13.2126913070679,11.7403411865234,10.0698345434164,0,1,0
1093,2021/04/17 01:14:29.552027,-3:37:54.7,58:12:15.7,26.7786102294922,-13.2077655792236,11.9939069747925,10.116611040673,0,1,0
1094,2021/04/17 01:14:37.432878,-3:13:38.7,58:29:32.3,27.1148204803467,-13.2636680603027,12.3358354568481,10.2067340400524,0,1,0
1095,2021/04/17 01:14:45.308664,-2:49:22.3,58:46:47.9,27.2966232299805,-13.5491781234741,12.5223598480225,10.2772279885318,0,1,0
1096,2021/04/17 01:14:53.933550,-2:25:05.6,59:04:02.7,27.4342422485352,-13.5139455795288,13.1014890670776,10.3443819266308,0,1,0
1097,2021/04/17 01:15:01.820175,-2:00:48.6,59:21:16.9,27.5230083465576,-13.4910316467285,13.5473394393921,10.3944198653075,0,1,0
1098,2021/04/17 01:15:09.712911,-1:36:31.3,59:38:30.5,27.7185115814209,-13.4964351654053,13.7069940567017,10.4414009601164,0,1,0
1099,2021/04/17 01:15:18.342877,-1:09:11.6,59:57:52.7,27.93776512146,-13.6044588088989,14.2672204971313,10.5347408617791,0,1,0
1100,2021/04/17 01:15:26.217924,-0:44:54.0,60:15:05.5,28.2272415161133,-13.78293800354,14.7909183502197,10.6428484223215,0,1,0
1101,2021/04/17 01:15:34.093379,-0:20:36.3,60:32:18.1,28.477611541748,-13.9538812637329,15.1168594360352,10.7266074371522,0,1,0
1102,2021/04/17 01:15:42.722336,0:03:41.5,60:49:30.6,28.5972366333008,-14.0005130767822,15.7678165435791,10.807791439933,0,1,0
1103,2021/04/17 01:15:50.591727,0:27:59.3,61:06:43.1,28.8065547943115,-14.0049209594727,16.0527458190918,10.8679699906246,0,1,0
1104,2021/04/17 01:15:58.462099,0:52:17.1,61:23:55.8,29.0970726013184,-14.0226249694824,16.639820098877,10.9700487084221,0,1,0
1105,2021/04/17 01:16:07.113942,1:19:37.0,61:43:17.9,29.3056926727295,-14.0706119537354,17.2237339019775,11.0615359778609,0,1,0
1106,2021/04/17 01:16:14.981392,1:40:52.3,61:58:22.0,29.5432758331299,-14.0535755157471,17.6592292785645,11.1391591238337,0,1,0
1107,2021/04/17 01:16:22.859709,2:05:09.7,62:15:35.8,29.7065353393555,-14.1742515563965,17.8292369842529,11.1902693451764,0,1,0
1108,2021/04/17 01:16:31.497698,2:32:29.0,62:34:59.6,29.69553565979,-14.2751550674438,18.2165565490723,11.2331707490871,0,1,0
1109,2021/04/17 01:16:39.373003,2:56:45.9,62:52:14.8,29.8547554016113,-14.2673082351685,18.2563095092773,11.2613852575527,0,1,0
1110,2021/04/17 01:16:47.242622,3:21:02.4,63:09:30.9,29.9680347442627,-14.2790021896362,18.6951293945312,11.322363816281,0,1,0
1111,2021/04/17 01:16:55.879340,3:45:18.6,63:26:48.0,30.2359752655029,-14.3364610671997,19.1889419555664,11.4164423901489,0,1,0
1112,2021/04/17 01:17:03.751657,4:09:34.3,63:44:06.1,30.5164947509766,-14.4122896194458,19.8158512115479,11.5270654337044,0,1,0
1113,2021/04/17 01:17:11.629045,4:33:49.7,64:01:25.5,30.6861381530762,-14.4044322967529,20.2854804992676,11.5993347409494,0,1,0
1114,2021/04/17 01:17:20.268649,5:01:06.3,64:20:56.3,30.9395332336426,-14.552640914917,20.8624019622803,11.7064758022847,0,1,0
1115,2021/04/17 01:17:28.144868,5:25:20.5,64:38:18.6,30.8331069946289,-14.587459564209,21.2078990936279,11.7282669279104,0,1,0
1116,2021/04/17 01:17:36.019198,5:49:34.1,64:55:42.5,30.9276561737061,-14.6187133789063,21.737491607666,11.7993134682618,0,1,0
1117,2021/04/17 01:17:44.644240,6:13:47.0,65:13:08.0,30.8859825134277,-14.5908260345459,22.0110912322998,11.8198179313392,0,1,0
1118,2021/04/17 01:17:52.516787,6:37:59.2,65:30:35.4,30.926305770874,-14.5312042236328,22.5720882415771,11.8809795537909,0,1,0
1119,2021/04/17 01:18:00.393457,7:02:10.7,65:48:04.7,30.9826946258545,-14.4899482727051,23.1668872833252,11.9502351887862,0,1,0
1120,2021/04/17 01:18:09.026813,7:29:22.7,66:07:47.6,31.185230255127,-14.5601835250854,23.4870872497559,12.0188610751663,0,1,0
1121,2021/04/17 01:18:16.902919,7:50:31.3,66:23:09.6,31.2883110046387,-14.4708795547485,24.3480815887451,12.1218915619205,0,1,0
1122,2021/04/17 01:18:24.783367,8:14:40.2,66:40:45.4,31.3913307189941,-14.4273700714111,24.8630886077881,12.1907881429118,0,1,0
1123,2021/04/17 01:18:33.413021,8:41:49.2,67:00:36.1,31.4275970458984,-14.555251121521,25.25270652771,12.2477399762718,0,1,0
1124,2021/04/17 01:18:41.287290,9:05:56.1,67:18:17.1,31.70627784729,-14.4531450271606,25.7167205810547,12.3322246942641,0,1,0
1125,2021/04/17 01:18:49.163595,9:30:01.9,67:36:00.9,31.8078479766846,-14.4941539764404,26.2405014038086,12.4081450266244,0,1,0
1126,2021/04/17 01:18:57.791709,9:54:06.7,67:53:47.4,31.8254585266113,-13.6640920639038,26.7508907318115,12.4185150419398,0,1,0
1127,2021/04/17 01:19:05.664468,10:18:10.3,68:11:36.9,32.0102462768555,-13.719464302063,27.5553951263428,12.5405178408807,0,1,0
1128,2021/04/17 01:19:13.550810,10:42:12.7,68:29:29.4,32.0702667236328,-13.8973350524902,28.0697937011719,12.6192350195805,0,1,0
1129,2021/04/17 01:19:22.177219,11:09:13.9,68:49:39.8,32.0027809143066,-14.0832891464233,28.5617408752441,12.6791068651628,0,1,0
1130,2021/04/17 01:19:30.060012,11:33:13.6,69:07:39.2,32.1489410400391,-14.0544500350952,28.8994903564453,12.7368440870207,0,1,0
1131,2021/04/17 01:19:37.940285,11:54:12.2,69:23:26.5,32.1478500366211,-14.1092414855957,29.387825012207,12.7980612628116,0,1,0
1132,2021/04/17 01:19:46.560083,12:21:08.9,69:43:48.5,32.2322845458984,-13.9915857315063,30.003345489502,12.8763128786281,0,1,0
1133,2021/04/17 01:19:54.442525,12:45:04.3,70:01:58.6,32.3431243896484,-14.1240215301514,30.6599788665771,12.9774757567556,0,1,0
1134,2021/04/17 01:20:02.322171,13:08:58.2,70:20:12.6,32.336498260498,-14.0651998519897,31.1988258361816,13.0390261188669,0,1,0
1135,2021/04/17 01:20:11.108019,13:35:49.5,70:40:48.0,32.3443412780762,-14.0187892913818,31.7761306762695,13.1083747833127,0,1,0
1136,2021/04/17 01:20:18.984136,13:56:41.3,70:56:52.6,32.3048133850098,-14.054726600647,32.3887176513672,13.1812201161131,0,1,0
1137,2021/04/17 01:20:26.866738,14:20:30.3,71:15:18.8,32.2475204467773,-14.0433492660522,32.7805557250977,13.2223738000793,0,1,0
1138,2021/04/17 01:20:35.492197,14:47:15.8,71:36:08.6,32.2198791503906,-14.2375478744507,33.1450996398926,13.2750583344428,0,1,0
1139,2021/04/17 01:20:43.366478,15:11:01.1,71:54:44.3,32.1974411010742,-13.9370765686035,33.644603729248,13.3192678252822,0,1,0
1140,2021/04/17 01:20:51.243910,15:34:44.5,72:13:24.7,32.1476554870605,-13.7243518829346,34.0240669250488,13.3503672144667,0,1,0
1141,2021/04/17 01:20:59.862959,15:58:25.9,72:32:09.8,32.1287574768066,-13.7240161895752,34.4802055358887,13.4062832550988,0,1,0
1142,2021/04/17 01:21:07.733763,16:22:05.3,72:51:00.0,32.0362205505371,-13.8703927993774,35.2449684143066,13.500987622483,0,0.5,0
1143,2021/04/17 01:21:15.610588,16:45:42.7,73:09:55.2,32.060733795166,-13.8476762771606,35.7405395507813,13.5667203839763,0,0.5,0
1144,2021/04/17 01:21:24.243125,17:12:14.8,73:31:18.5,32.0322875976562,-13.7616758346558,36.2963180541992,13.631318170266,0,0.5,0
1145,2021/04/17 01:21:32.117719,17:35:47.6,73:50:25.0,32.02294921875,-13.7265939712524,36.6480598449707,13.6744064577669,0,0,0
1146,2021/04/17 01:21:39.994188,17:56:22.0,74:07:12.7,32.0988883972168,-13.7349367141724,37.3732490539551,13.7783931070183,0,0,0
1147,2021/04/17 01:21:48.623425,18:22:46.5,74:28:54.6,32.0912246704102,-13.5934448242188,37.7451324462891,13.8196657699334,0,0,0
1148,2021/04/17 01:21:56.498740,18:46:12.4,74:48:18.1,31.935474395752,-13.6196212768555,38.2526969909668,13.8706407831085,0,0,0
1149,2021/04/17 01:22:04.375858,19:09:35.9,75:07:47.6,31.7648582458496,-13.605580329895,38.4981880187988,13.8837802564578,0,0,0
1150,2021/04/17 01:22:13.047847,19:35:51.8,75:29:50.6,31.6318969726562,-13.6462745666504,39.0654373168945,13.9469182238371,0,0,0
1151,2021/04/17 01:22:20.923098,19:56:15.3,75:47:05.1,31.6674976348877,-13.6356678009033,39.4741096496582,14.005044398991,0,0,0
1152,2021/04/17 01:22:28.798259,20:19:31.0,76:06:53.4,31.717845916748,-13.6500778198242,39.8125991821289,14.0565559635873,0,0,0
1153,2021/04/17 01:22:37.429062,20:45:38.0,76:29:18.1,31.5591316223145,-13.5526056289673,40.3924217224121,14.1133646579268,0,0,0
1154,2021/04/17 01:22:45.305026,21:08:47.9,76:49:20.6,31.5690307617187,-13.4772958755493,41.0745353698731,14.2034222116165,0,0,0
1155,2021/04/17 01:22:53.181681,21:31:55.0,77:09:30.1,31.543478012085,-13.4949588775635,41.4597473144531,14.253897475144,0,0,0
1156,2021/04/17 01:23:01.822548,21:54:59.1,77:29:46.6,31.429349899292,-13.4183025360107,42.0059089660645,14.3132634307534,0,0,0
1157,2021/04/17 01:23:09.736276,22:18:00.2,77:50:10.4,31.4473209381104,-13.3310604095459,42.6586227416992,14.4006835774488,0,0,0
1158,2021/04/17 01:23:17.610992,22:40:58.2,78:10:41.6,31.3050346374512,-13.1345634460449,43.0373344421387,14.4300781193644,0,0,0
1159,2021/04/17 01:23:26.227886,23:06:44.6,78:33:55.8,31.2616081237793,-12.9509887695313,43.5898323059082,14.4943929697018,0,0,0
1160,2021/04/17 01:23:34.101919,23:29:35.8,78:54:43.3,31.2979068756103,-12.8672494888306,44.0633544921875,14.5601218223225,0,0,0
1161,2021/04/17 01:23:41.973225,23:49:32.9,79:13:01.3,31.2118301391602,-12.9963417053223,44.6067962646484,14.6323195816427,0,0,0
1162,2021/04/17 01:23:50.616537,24:15:08.1,79:36:42.3,31.191255569458,-13.0036420822144,44.7621040344238,14.6521980479506,0,0,0
1163,2021/04/17 01:23:58.492623,24:37:49.1,79:57:54.1,31.189416885376,-13.0736150741577,45.5051765441895,14.7582280689355,0,0,0
1164,2021/04/17 01:24:06.367514,25:00:26.5,80:19:14.4,31.0469245910645,-13.0363235473633,45.7615814208984,14.7789504638102,0,0,0
1165,2021/04/17 01:24:14.991738,25:23:00.2,80:40:43.3,30.92214012146,-13.0805101394653,46.2602043151856,14.8386937917688,0,0,0
1166,2021/04/17 01:24:22.866231,25:45:30.2,81:02:21.1,30.8434734344482,-12.981499671936,46.8465881347656,14.9097424492335,0,0,0
1167,2021/04/17 01:24:30.742935,26:07:56.3,81:24:07.9,30.7996234893799,-13.0143451690674,47.0166206359863,14.9308709428994,0,0,0
1168,2021/04/17 01:24:39.375461,26:33:06.0,81:48:48.9,30.5388660430908,-13.1683387756348,47.5945816040039,14.9944745328166,0,0,0
