index,time,lat,lon,x,y,z,m,d/n,w?,h?
861,2021/04/17 00:43:03.037149,-39:11:01.7,-70:43:23.0,1.6792550086975098,-10.447710990905762,13.193669319152832,6.588896792451689,,,
862,2021/04/17 00:43:11.662030,-39:29:29.9,-70:13:16.3,1.7032873630523682,-10.475381851196289,12.897122383117676,6.534105379989095,,,
863,2021/04/17 00:43:19.534627,-39:47:49.2,-69:42:52.6,1.5755219459533691,-10.50179386138916,12.908326148986816,6.537415985450223,1,0,0.5
864,2021/04/17 00:43:27.402824,-40:05:59.4,-69:12:11.6,1.5851576328277588,-10.445074081420898,12.732181549072266,6.492857988067846,,,
865,2021/04/17 00:43:36.047660,-40:26:14.7,-68:37:19.6,1.612551212310791,-10.524523735046387,12.770630836486816,6.514405393960955,,,
866,2021/04/17 00:43:43.923608,-40:41:51.6,-68:09:57.1,1.7573764324188232,-10.381261825561523,12.771114349365234,6.494751824773209,1,0,0.25
867,2021/04/17 00:43:51.797446,-40:59:33.4,-67:38:23.1,1.9000216722488403,-10.226798057556152,12.516627311706543,6.42205477107164,,,
868,2021/04/17 00:44:00.431385,-41:19:16.0,-67:02:31.0,1.9646272659301758,-10.220391273498535,12.164997100830078,6.3521109194188945,,,
869,2021/04/17 00:44:08.321112,-41:36:36.6,-66:30:18.6,2.197334051132202,-10.07166576385498,11.97791862487793,6.2973976215254215,1,0.25,0
870,2021/04/17 00:44:16.198440,-41:53:46.9,-65:57:47.8,2.1431217193603516,-9.915407180786133,11.836429595947266,6.24033138310893,,,
871,2021/04/17 00:44:24.845985,-42:10:46.7,-65:24:58.5,2.1130642890930176,-10.015361785888672,11.514351844787598,6.191532064468485,,,
872,2021/04/17 00:44:32.721319,-42:27:35.9,-64:51:50.5,2.0892131328582764,-9.977484703063965,11.417776107788086,6.164702512703855,1,0.5,0
873,2021/04/17 00:44:40.595458,-42:44:14.2,-64:18:23.6,2.2338027954101562,-9.995482444763184,11.609155654907227,6.211633026276129,,,
874,2021/04/17 00:44:49.222325,-43:02:44.1,-63:40:23.2,2.1884682178497314,-9.95559310913086,11.367958068847656,6.154626240838612,,,
875,2021/04/17 00:44:57.091711,-43:18:58.7,-63:06:15.8,2.296841621398926,-9.774433135986328,11.434464454650879,6.140764350871341,1,0.75,0
876,2021/04/17 00:45:04.966555,-43:33:02.0,-62:36:08.5,2.3361289501190186,-9.741530418395996,11.489068984985352,6.147753995157022,,,
877,2021/04/17 00:45:13.611767,-43:50:53.1,-61:57:03.0,2.472820281982422,-9.761665344238281,11.48273754119873,6.155721750005184,,,
878,2021/04/17 00:45:21.483334,-44:06:32.5,-61:21:57.4,2.5434587001800537,-9.793457984924316,11.266280174255371,6.120793239011451,1,1,0
879,2021/04/17 00:45:29.357782,-44:21:59.9,-60:46:32.2,2.64764404296875,-9.729421615600586,11.094769477844238,6.080088923767309,,,
880,2021/04/17 00:45:37.992159,-44:37:14.8,-60:10:47.4,2.773872137069702,-9.611148834228516,10.944442749023438,6.035432708932298,,,
881,2021/04/17 00:45:45.866187,-44:52:17.2,-59:34:42.7,2.803849935531616,-9.487288475036621,10.813694953918457,5.988926014696978,1,1,0
882,2021/04/17 00:45:53.743156,-45:07:06.8,-58:58:18.2,2.7503533363342285,-9.455015182495117,10.80968952178955,5.979663958900282,,,
883,2021/04/17 00:46:02.391128,-45:23:32.0,-58:16:56.9,2.813721179962158,-9.442431449890137,10.941728591918945,6.007379467814667,,,
884,2021/04/17 00:46:10.282260,-45:37:53.6,-57:39:50.0,2.761918544769287,-9.413789749145508,10.989760398864746,6.009452370531606,1,1,0
885,2021/04/17 00:46:18.152639,-45:52:01.8,-57:02:23.2,2.7471187114715576,-9.41316032409668,10.8213529586792,5.974483568358545,,,
886,2021/04/17 00:46:26.795460,-46:05:56.3,-56:24:36.5,2.960949182510376,-9.246964454650879,10.71700668334961,5.93568154129942,,,
887,2021/04/17 00:46:34.682893,-46:19:36.8,-55:46:29.7,3.0913405418395996,-9.175121307373047,10.541927337646484,5.895135982951371,1,1,0
888,2021/04/17 00:46:42.566027,-46:33:03.1,-55:08:03.0,3.103862762451172,-9.121843338012695,10.368021011352539,5.851326551610474,,,
889,2021/04/17 00:46:51.207521,-46:47:53.0,-54:24:24.2,3.1412484645843506,-9.00131607055664,10.419410705566406,5.84272114276962,,,
890,2021/04/17 00:46:59.082854,-47:00:48.4,-53:45:15.2,3.1854960918426514,-9.078898429870605,10.170719146728516,5.808956732194288,1,1,0
891,2021/04/17 00:47:06.956840,-47:11:54.8,-53:10:43.6,3.2345781326293945,-9.102012634277344,10.067023277282715,5.795459063215969,,,
892,2021/04/17 00:47:15.594447,-47:25:54.4,-52:25:57.9,3.4637320041656494,-9.202435493469238,10.072830200195312,5.829890939317264,,,
893,2021/04/17 00:47:23.468389,-47:38:04.5,-51:45:49.8,3.474327325820923,-9.31956672668457,10.030570983886719,5.843525391858364,1,1,0
894,2021/04/17 00:47:31.342307,-47:49:59.1,-51:05:22.2,3.5948665142059326,-9.268404960632324,10.005793571472168,5.837708145198642,,,
895,2021/04/17 00:47:39.980026,-48:01:37.8,-50:24:35.3,3.7310867309570312,-9.345632553100586,9.74028205871582,5.810118589427399,,,
896,2021/04/17 00:47:47.855482,-48:13:00.5,-49:43:29.2,3.749023675918579,-9.304994583129883,9.637199401855469,5.78411941012912,1,1,0
897,2021/04/17 00:47:55.731978,-48:24:06.9,-49:02:04.1,3.8456180095672607,-9.23971939086914,9.507964134216309,5.754565490872831,,,
898,2021/04/17 00:48:04.370121,-48:36:16.9,-48:15:05.9,4.011501312255859,-9.109519004821777,9.285761833190918,5.701106301119356,,,
899,2021/04/17 00:48:12.245609,-48:46:48.0,-47:33:01.2,3.9520263671875,-9.098785400390625,9.241106986999512,5.685718494793972,1,1,0
